# The Computer Science Ontology as a term taxonomy: the topics computer science research is
# indexed by, each with the label CSO states for it and the equivalent labels it states beside
# it. CSO states NO definition for any topic, so this is matched against declared names like
# OLiA and FIBO and cannot be read as a functional taxonomy — there is no prose to compare a
# scope against.
#
# Columns: concept, prefLabel, altLabel, broader, kind, module, definition, note.
# definition is empty for every row because CSO publishes none.
#
# CSO is a POLY-HIERARCHY: 4747 of its 11426 topics with a parent are stated beneath more
# than one, up to 13. Every parent is carried, joined with the separator SkosConcept states
# for a repeated property, and SkosConcept.broaderConcepts reads them back. Nothing is dropped.
#
# Name: Computer Science Ontology 3.5
# Publisher: the Knowledge Media Institute, The Open University (https://cso.kmi.open.ac.uk/)
# Kind: terms
# Source: CSO 3.5, https://cso.kmi.open.ac.uk/download (CSO.3.5.csv) (the download states
#   no revision, so the archive is the citation, pinned by the SHA-256 ContentDigest states
#   over CSO.3.5.csv: 1fa427ecb26a92d6077a54b5da41833e3eea6a194567091e336e8425f4cc11d4).
# Licence: Creative Commons Attribution 4.0 International (CC BY 4.0) — "you can freely copy,
#   share, adapt, and build upon the data for any purpose, including commercial use, as long as
#   you give appropriate credit to the original creators". Credit: the Computer Science
#   Ontology, Knowledge Media Institute, The Open University, and NOTICE.md carries it.
#   The downloaded archive itself states no licence and carries no licence file; these terms
#   were supplied by the maintainer of this repository rather than read from the archive.
# Generated by CsoTopicsExtraction: 11438 topics.
adaptive_pid	adaptive pid		pi controller | three term control systems	topic			
adaptive_rate_control	adaptive rate control		adaptive control systems | rate control	topic			
adaptive_regularization	adaptive regularization		regularization parameters	topic			
adaptive_resource_allocations	adaptive resource allocations		frequency division multiple access	topic			
adaptive_robust_control	adaptive robust control		robust control	topic			
adaptive_routing	adaptive routing		ad hoc networks | adaptive algorithms | interconnection networks | network routing	topic			
adaptive_routing_algorithm	adaptive routing algorithm		adaptive routing	topic			
adaptive_signal_processing	adaptive signal processing		adaptive filters	topic			
adaptive_sliding_mode_control	adaptive sliding mode control	adaptive sliding mode control | adaptive sliding mode controller	sliding mode control	topic			
adaptive_streaming	adaptive streaming		http | video streaming	topic			
adaptive_synchronizations	adaptive synchronizations		chaotic systems | unknown parameters	topic			
adaptive_systems	adaptive systems	adaptive system | adaptive systems	architecture types	topic			
adaptive_video_streaming	adaptive video streaming		acoustic streaming	topic			
adaptive_web	adaptive web		adaptive hypermedia	topic			
adcp	adcp		acoustic doppler current profiler	topic			
adders	adders	adder | adders	digital arithmetic | vlsi circuits	topic			
additive_gaussian_noise	additive gaussian noise		gaussian noise (electronic)	topic			
additive_manufacturing	additive manufacturing		rapid prototyping	topic			
additive_noise	additive noise		gaussian noise (electronic) | spurious signal noise | white noise	topic			
additive_white_gaussian_noise	additive white gaussian noise	additive white gaussian noise | additive white gaussian noise (awgn)	bit error rate | gaussian noise (electronic) | white noise	topic			
additive_white_gaussian_noise_channel	additive white gaussian noise channel		gaussian noise (electronic) | white noise	topic			
address_translation	address translation		buffer storage | flash translation layer	topic			
adjacent_channel_interference	adjacent channel interference		cochannel interference	topic			
adjacent_channels	adjacent channels		adjacent channel interference	topic			
adjacent_vertices	adjacent vertices		coloring | graph g	topic			
adjoint_methods	adjoint methods	adjoint method | adjoint methods	shape optimization	topic			
administrative_data_processing	administrative data processing		information management | management information systems	topic			
admission_control	admission control		quality of service	topic			
admission_control_algorithms	admission control algorithms		admission control	topic			
admission_control_scheme	admission control scheme		admission control	topic			
advanced_encryption_standard_%28aes%29	advanced encryption standard (aes)	advanced encryption standard | advanced encryption standard (aes)	cryptography | data privacy | field programmable gate array	topic			
advanced_pharmacy_practice_experience	advanced pharmacy practice experience		students, pharmacy	topic			
advanced_systems	advanced systems		lte-advanced	topic			
advanced_traffic_management_systems	advanced traffic management systems		automatic teller machines | intelligent systems	topic			
advanced_traveler_information_systems	advanced traveler information systems		information systems | intelligent systems	topic			
advanced_video_coding	advanced video coding		h.264/avc	topic			
adversarial_machine_learning	adversarial machine learning	adversarial learning | adversarial machine learning	machine learning	topic			
aero-engine	aero-engine		aircraft engines	topic			
aerospace_engineering	aerospace engineering		security systems	topic			
aerospace_vehicles	aerospace vehicles		mergers and acquisitions	topic			
aes_algorithms	aes algorithms		data encryption standard | encryption	topic			
aes_encryption	aes encryption		advanced encryption standard (aes) | data encryption standard | network security	topic			
affect_recognition	affect recognition		affective computing | emotion recognition | facial expression	topic			
affective_computing	affective computing		human computer interaction	topic			
affective_state	affective state		affective computing | computer aided instruction	topic			
affine_projection_algorithms	affine projection algorithms		echo suppression | electric filters	topic			
affine_projections	affine projections		affine projection algorithms	topic			
affinity_matrix	affinity matrix		spectral clustering	topic			
aflp	aflp		genetic diversity	topic			
african_american	african american		asian continental ancestry group	topic			
african_americans	african americans		asian continental ancestry group	topic			
african_continental_ancestry_group	african continental ancestry group		asian continental ancestry group	topic			
agc	agc		gain control	topic			
agent-based_approach	agent-based approach		agent based	topic			
agent-based_architecture	agent-based architecture		agent based	topic			
agent-based_framework	agent-based framework		agent based	topic			
agent-based_modelling	agent-based modelling		agent based simulation	topic			
agent-based_simulation_models	agent-based simulation models		agent based simulation	topic			
agent-based_systems	agent-based systems	agent-based system | agent-based systems	intelligent agents | software agents	topic			
agent-oriented	agent-oriented		intelligent agents | software agents | software engineering	topic			
agent_architectures	agent architectures	agent architecture | agent architectures	autonomous agents | intelligent agents	topic			
agent_based	agent based	agent based | agent-based	intelligent agents	topic			
agent_based_simulation	agent based simulation	agent based simulation | agent-based simulation	multiagent system	topic			
agent_model	agent model		autonomous agents | intelligent agents	topic			
agent_oriented_software_engineering	agent oriented software engineering	agent oriented software engineering | agent-oriented software engineering	autonomous agents | intelligent agents | software agents | software engineering	topic			
agent_systems	agent systems		intelligent agents | mobile agents	topic			
agent_technology	agent technology		intelligent agents | software agents	topic			
agentic_artificial_intelligence	agentic artificial intelligence	agentic ai | agentic artificial intelligence	artificial intelligence	topic			
agentic_rag	agentic rag		agentic artificial intelligence | retrieval-augmented generation	topic			
agglomerative_hierarchical_clustering	agglomerative hierarchical clustering		cluster analysis | clustering algorithms	topic			
aggregate_signature	aggregate signature		digital signature | electronic document identification systems | network security	topic			
aggregation_schemes	aggregation schemes		data aggregation | sensor networks | wireless sensor networks	topic			
agile_approaches	agile approaches		agile software development	topic			
agile_methodologies	agile methodologies		agile methods	topic			
