# Name tokens from the Wikidata entity registry: every given-name and family-name item
# borne by at least five subjects, written as each of the registry's labels for it, with
# the token's dominant Unicode script and the item's bearer count as prominence. A row
# says the registry records people bearing the token as a name part — 王 is a family name
# written in Han script; Alexander, Александр and 亚历山大 are one given name written
# three ways. Whether a sampled value is made of such tokens is the caller's question,
# answered by votes this file does not cast.
#
# Name: Wikidata given and family names
# Publisher: Wikidata
# Kind: words
# Source: Wikidata, items referenced as a person's given name (P735) or family name
#   (P734) by at least five subjects, under every rdfs:label in every language; the
#   script is the majority Unicode script of the token's letters. Queried via the
#   QLever SPARQL endpoint (https://qlever.dev/api/wikidata).
# Licence: CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/).
# Regenerate: ./gradlew :lexicon-extraction:extractWikidataNames
#
# token	script	kind	bearers
Abdulvahab	LATIN	family	5
Abdulvahit	LATIN	given	50
Abdulwahab	LATIN	family	5
Abdur	LATIN	given	11
Abdur Rahim	LATIN	given	120
Abdur Rahman	LATIN	given	762
Abdur Rashid	LATIN	given	25
Abdur Razzaq	LATIN	given	23
Abdurahman	LATIN	family	9
Abdurahman	LATIN	given	762
Abdurrahim	LATIN	given	27
Abdurrahman	LATIN	family	5
Abdurrahman	LATIN	given	762
Abdus Salaam	LATIN	given	123
Abdus Salam	LATIN	given	123
Abdus Shakur	LATIN	given	5
Abdushelishvili	LATIN	family	7
Abdusshakoor	LATIN	given	5
Abdy	LATIN	family	62
Abdyl	LATIN	given	8
Abdyli	LATIN	family	10
Abdías	LATIN	given	53
Abdón	LATIN	given	53
Abdülhak	LATIN	given	8
Abdülkadir	LATIN	given	36
Abdülkerim	LATIN	given	200
Abdürrəhman	LATIN	given	139
Abdüssamet	LATIN	given	11
Abe	LATIN	family	521
Abe	LATIN	given	189
Abeba	LATIN	given	7
Abebe	LATIN	family	18
Abecasis	LATIN	family	7
Abecassis	LATIN	family	11
Abed	LATIN	family	25
Abed	LATIN	given	23
Abedi	LATIN	family	20
Abedin	LATIN	family	15
Abedin	LATIN	given	23
Abedini	LATIN	family	16
Abeel	LATIN	family	16
Abeer	LATIN	given	38
Abegg	LATIN	family	69
Abegglen	LATIN	family	9
Abeid	LATIN	family	6
Abeiku	LATIN	given	6
Abeille	LATIN	family	21
Abeken	LATIN	family	16
Abel	LATIN	family	820
Abel	LATIN	given	1668
Abel Smith	LATIN	family	79
Abela	LATIN	family	76
Abelard	LATIN	given	12
Abelardo	LATIN	given	193
Abele	LATIN	family	84
Abele	LATIN	given	20
Abeledo	LATIN	family	6
Abelein	LATIN	family	7
Abelenda	LATIN	family	14
Abeler	LATIN	family	8
Abeles	LATIN	family	134
Abelesová	LATIN	family	105
Abelin	LATIN	family	14
Abelino	LATIN	given	6
Abell	LATIN	family	157
Abella	LATIN	family	57
Abellana	LATIN	family	6
Abellard	LATIN	family	5
Abelli	LATIN	family	10
Abello	LATIN	family	17
Abellán	LATIN	family	24
Abelló	LATIN	family	11
Abelmann	LATIN	family	12
Abeln	LATIN	family	16
Abelone	LATIN	given	6
Abelová	LATIN	family	6
