# Wiktionary topic vocabulary, one row per headword: the word (multi-word phrases carry
# underscores, the written form the bundled WordNet resources use) and the union of topic
# labels across its senses, comma-separated. The dictionary saying which domains claim the
# word — membership is a vote's evidence, never a decision.
#
# Name: Wiktionary topic vocabulary
# Publisher: Wiktionary, through wiktextract at kaikki.org
# Kind: words
# Source: Wiktionary (https://en.wiktionary.org/), read from the wiktextract JSONL published
#   at kaikki.org (https://kaikki.org/dictionary/English/); Tatu Ylonen: "Wiktextract:
#   Wiktionary as Machine-Readable Structured Data", LREC 2022.
# Licence: this data file is derived from Wiktionary content and is distributed under
#   CC BY-SA (https://creativecommons.org/licenses/by-sa/4.0/). The licence attaches to
#   this file, not to the code that reads or produced it.
# Generated by WiktionaryExtraction: 185768 words.
1-976	communications,electrical-engineering,engineering,natural-sciences,physical-sciences,telecommunications,telephony
1-bromo-3-chloropropane	chemistry,natural-sciences,organic-chemistry,physical-sciences
1-connected	mathematics,sciences,topology
1-d_rcm	climatology,natural-sciences
1-h_tl_fm	climatology,meteorology,natural-sciences
1-methyl-4-phenylpyridinium	chemistry,medicine,natural-sciences,neurology,neuroscience,neurotoxicology,organic-chemistry,physical-sciences,sciences,toxicology
1-up	video-games
1/d	medicine,sciences
1/o	government,military,navy,politics,war
10	hobbies,lifestyle,skiing,snowboarding,sports
10-20-life	law
10-foot_user_interface	computing,engineering,graphical-user-interface,mathematics,natural-sciences,physical-sciences,sciences
10-gon	geometry,mathematics,sciences
10-undecenoic_acid	chemistry,medicine,natural-sciences,organic-chemistry,pharmacology,physical-sciences,sciences
100-gon	geometry,mathematics,sciences
100-meter_dash	athletics,hobbies,lifestyle,sports
1000-gon	geometry,mathematics,sciences
10000-gon	geometry,mathematics,sciences
1000000-gon	geometry,mathematics,sciences
10000_metres	athletics,hobbies,lifestyle,sports
1000_metres	athletics,hobbies,lifestyle,sports
100_metres	athletics,hobbies,lifestyle,sports
1024th_note	entertainment,lifestyle,music
1031_exchange	business,finance
1040	economics,government,sciences,taxation
1040-nr	economics,government,sciences,taxation
109	government,military,politics,war
1095	engineering,metallurgy,natural-sciences,physical-sciences
1099	business,economics,government,sciences,taxation
10_downing_street	government,politics
10base2	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
