# Wiktionary abbreviation senses, one row per cited reading: the token, the expansion its
# entry names, the kind of shortening the sense declares (abbreviation, initialism, acronym,
# clipping or symbol), the sense's topic labels (comma-separated, often empty), and — for a
# unit symbol — the quantity the standard says the unit measures, blank for every other
# kind. A token with several cited expansions keeps one row each — this file cites usage,
# the reader votes.
#
# Source: Wiktionary (https://en.wiktionary.org/), read from the wiktextract JSONL published
#   at kaikki.org: the English extract (https://kaikki.org/dictionary/English/) and the
#   Translingual extract (https://kaikki.org/dictionary/Translingual/), which carries the
#   unit symbols; Tatu Ylonen: "Wiktextract: Wiktionary as Machine-Readable Structured
#   Data", LREC 2022.
# Licence: this data file is derived from Wiktionary content and is distributed under
#   CC BY-SA (https://creativecommons.org/licenses/by-sa/4.0/). The licence attaches to
#   this file, not to the code that reads or produced it.
# Generated by WiktionaryAbbreviationExtraction: 45633 senses.
4thly	fourthly	abbreviation		
4to	quarto	abbreviation		
4to	quarto	abbreviation	media,printing,publishing	
4tw	for the win	abbreviation		
4wd	four-wheel drive	abbreviation	automotive,transport,vehicles	
4ws	four-wheel steering	abbreviation	automotive,transport,vehicles	
4º	quarto	abbreviation		
4º	quarto	abbreviation	media,printing,publishing	
5	540	abbreviation	hobbies,lifestyle,skateboarding,skiing,snowboarding,sports	
5-ht	5-hydroxytryptamine	abbreviation	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences	
50th	fiftieth	abbreviation		
51st	fifty-first	abbreviation		
52nd	fifty-second	abbreviation		
53rd	fifty-third	abbreviation		
54th	fifty-fourth	abbreviation		
55th	fifty-fifth	abbreviation		
56th	fifty-sixth	abbreviation		
57th	fifty-seventh	abbreviation		
58th	fifty-eighth	abbreviation		
59th	fifty-ninth	abbreviation		
5bx	five basic exercises	abbreviation		
5fdp	five finger death punch	abbreviation	entertainment,lifestyle,music	
5g	5th generation	abbreviation	communications,electrical-engineering,engineering,mobile-telephony,natural-sciences,physical-sciences,telecommunications,telephony	
5gl	fifth-generation language	abbreviation	computing,engineering,mathematics,natural-sciences,physical-sciences,programming,sciences	
5nf	fifth normal form	abbreviation		
5th	fifth	abbreviation		
5w	five ws	abbreviation	journalism,media	
6-pthb	6-pyruvoyltetrahydropterin	abbreviation		
60th	sixtieth	abbreviation		
61st	sixty-first	abbreviation		
62nd	sixty-second	abbreviation		
63rd	sixty-third	abbreviation		
64th	sixty-fourth	abbreviation		
64º	sexagesimo-quarto	abbreviation		
64º	sexagesimo-quarto	abbreviation	media,printing,publishing	
65th	sixty-fifth	abbreviation		
66th	sixty-sixth	abbreviation		
67th	sixty-seventh	abbreviation		
68th	sixty-eighth	abbreviation		
69th	sixty-ninth	abbreviation		
6dof	6 degrees of freedom	abbreviation		
6nf	sixth normal form	abbreviation		
6th	sixth	abbreviation		
6º	sexto	abbreviation		
6º	sexto	abbreviation	media,printing,publishing	
7	720	abbreviation	hobbies,lifestyle,skateboarding,skiing,snowboarding,sports	
70th	seventieth	abbreviation		
71st	seventy-first	abbreviation		
72nd	seventy-second	abbreviation		
73rd	seventy-third	abbreviation		
74th	seventy-fourth	abbreviation		
75	french 75	abbreviation	government,military,politics,war	
75th	seventy-fifth	abbreviation		
76th	seventy-sixth	abbreviation		
77th	seventy-seventh	abbreviation		
78th	seventy-eighth	abbreviation		
79th	seventy-ninth	abbreviation		
7ber	september	abbreviation		
7th	seventh	abbreviation		
8	ate	abbreviation		
800	1-800	abbreviation		
80th	eightieth	abbreviation		
81st	eighty-first	abbreviation		
82nd	eighty-second	abbreviation		
83rd	eighty-third	abbreviation		
84th	eighty-fourth	abbreviation		
85th	eighty-fifth	abbreviation		
86th	eighty-sixth	abbreviation		
87th	eighty-seventh	abbreviation		
88	german 88	abbreviation	government,military,politics,war	
88th	eighty-eighth	abbreviation		
89th	eighty-ninth	abbreviation		
8ber	october	abbreviation		
8n1	eight data bits	abbreviation	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences	
8n1	no parity	abbreviation	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences	
8n1	one stop bit	abbreviation	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences	
8th	eighth	abbreviation		
8ve	octave	abbreviation		
8vo	octavo	abbreviation		
8x8	8 drive wheels on 8 wheels)	abbreviation	automotive,transport,vehicles	
8x8x8	8 wheel steering with 8 drive wheels on 8 wheels	abbreviation	automotive,transport,vehicles	
8º	octavo	abbreviation		
8º	octavo	abbreviation	media,printing,publishing	
9	900	abbreviation	hobbies,lifestyle,skiing,snowboarding,sports	
900	1-900	abbreviation		
90th	ninetieth	abbreviation		
91st	ninety-first	abbreviation		
92nd	ninety-second	abbreviation		
93rd	ninety-third	abbreviation		
94th	ninety-fourth	abbreviation		
95th	ninety-fifth	abbreviation		
96th	ninety-sixth	abbreviation		
97th	ninety-seventh	abbreviation		
